"ID","Name","Date","Maximum.Wind","dLat","dLong","angle","direction"
"AL071863","            UNNAMED",18630918,50,0.699999999999999,-2,160.709953780811,"West"
"AL081863","            UNNAMED",18630926,50,5.9,-2.69999999999999,114.590117166196,"Northwest"
"AL091863","            UNNAMED",18630929,60,2.1,6.19999999999999,18.7117378750998,"East"
"AL011864","            UNNAMED",18640716,70,15.2,32,25.4077181089485,"Northeast"
"AL021864","            UNNAMED",18640725,60,0,0,270,"South"
"AL031864","            UNNAMED",18640826,70,3.1,-36.6,175.158634034753,"West"
"AL041864","            UNNAMED",18640905,50,0,0,270,"South"
"AL051864","            UNNAMED",18641022,70,13,10.5,51.0724564072077,"Northeast"
"AL011865","            UNNAMED",18650530,50,0,0,270,"South"
"AL021865","            UNNAMED",18650630,50,0,0,270,"South"
"AL031865","            UNNAMED",18650820,60,9,9.30000000000001,44.0608090542644,"Northeast"
"AL041865","            UNNAMED",18650906,90,18,-37.5,154.358994175695,"Northwest"
"AL051865","            UNNAMED",18650907,60,0,0,270,"South"
"AL061865","            UNNAMED",18650928,70,0,0,270,"South"
"AL071865","            UNNAMED",18651018,90,27.8,16.9,58.7040101991428,"Northeast"
"AL011866","            UNNAMED",18660711,90,0.600000000000001,-10.4,176.698134325565,"West"
"AL021866","            UNNAMED",18660813,90,6,-37.9,171.004085574634,"West"
"AL031866","            UNNAMED",18660904,70,14,16.9,39.6384310193682,"Northeast"
"AL041866","            UNNAMED",18660918,70,0,0,270,"South"
"AL051866","            UNNAMED",18660922,90,12.5,9.69999999999999,52.1885371427367,"Northeast"
"AL061866","            UNNAMED",18660924,120,29.8,-15,116.718658797027,"Northwest"
"AL071866","            UNNAMED",18661029,60,15,2.80000000000001,79.426476581439,"North"
"AL011867","            UNNAMED",18670621,70,6,1.19999999999999,78.6900675259799,"North"
"AL021867","            UNNAMED",18670728,90,26,1.90000000000003,85.8204301265701,"North"
"AL031867","            UNNAMED",18670802,90,0,0,270,"South"
"AL041867","            UNNAMED",18670831,70,12.4,9.40000000000003,52.8355251064885,"Northeast"
"AL051867","            UNNAMED",18670908,50,0,0,270,"South"
"AL061867","            UNNAMED",18670929,90,7.9,2.60000000000002,71.782904802175,"North"
"AL071867","            UNNAMED",18671002,90,11.2,23.4,25.5772907774382,"Northeast"
"AL081867","            UNNAMED",18671009,40,0,0,270,"South"
