"ID","Name","Date","Maximum.Wind","dLat","dLong","angle","direction"
"CP031957","               NINA",19571129,75,6,-10.8,150.945395900923,"Northwest"
"EP011958","            UNNAMED",19580606,75,11.4,-10,131.257011704313,"Northwest"
"EP021958","            UNNAMED",19580613,45,4.7,-4.5,133.754635733232,"Northwest"
"EP031958","            UNNAMED",19580719,75,0.699999999999999,-10.7,176.257011704313,"West"
"EP041958","            UNNAMED",19580721,75,4.7,-9.5,153.67670173219,"Northwest"
"EP051958","            UNNAMED",19580726,45,9.7,-16.9,150.14570614443,"Northwest"
"EP061958","            UNNAMED",19580731,45,2.2,-4.5,153.946504689509,"Northwest"
"CP011958","            UNNAMED",19580807,45,0,-5.90000000000001,180,"West"
"EP071958","            UNNAMED",19580813,45,0.100000000000001,-6.40000000000001,179.104826289789,"West"
"EP081958","            UNNAMED",19580906,90,-0.600000000000001,-16.2,182.121096396661,"West"
"EP091958","            UNNAMED",19580911,45,7.2,-5.40000000000001,126.869897645844,"Northwest"
"EP101958","            UNNAMED",19580930,75,18.2,-5.89999999999998,107.961440764187,"North"
"EP111958","            UNNAMED",19581014,45,0.300000000000001,-11.9,178.555874469064,"West"
"EP121958","            UNNAMED",19581029,45,2.6,3.5,36.6070748126075,"Northeast"
"EP011959","            UNNAMED",19590610,45,9.1,-3.69999999999999,112.126334809373,"North"
"EP021959","            UNNAMED",19590626,45,3.8,-7,151.504361381755,"Northwest"
"EP031959","            UNNAMED",19590716,45,8.4,-22.3,159.359530804904,"West"
"EP041959","            UNNAMED",19590722,45,1.1,-13.1,175.200163886095,"West"
"EP051959","            UNNAMED",19590729,45,0.699999999999999,-1.79999999999995,158.749494492866,"West"
"CP011959","                DOT",19590801,130,7.5,-21.8,161.014902849568,"West"
"EP061959","            UNNAMED",19590804,45,0.100000000000001,-7.5,179.23610153907,"West"
"EP071959","            UNNAMED",19590819,45,3.7,-4.90000000000001,142.94347181059,"Northwest"
"EP081959","            UNNAMED",19590827,45,-1.8,-5.59999999999999,197.818888914523,"West"
"EP091959","            UNNAMED",19590904,75,18.6,-21.9,139.658254109676,"Northwest"
"CP021959","              PATSY",19590906,150,14.5,0.199999999999989,89.2097634975709,"North"
"EP101959","            UNNAMED",19590921,75,4.4,-8.70000000000002,153.172125989686,"Northwest"
"CP031959","              WANDA",19590926,60,-1.7,-6,195.8191939475,"West"
"EP111959","            UNNAMED",19591019,45,2,3.90000000000001,27.1496816977831,"Northeast"
"EP121959","            UNNAMED",19591022,120,8.6,-8.19999999999999,133.636072468397,"Northwest"
"EP011960","            ANNETTE",19600609,45,2.7,-14.4,169.380344723845,"West"
"EP021960","              BONNY",19600622,45,6.9,-7.09999999999997,135.818455461688,"Northwest"
"EP031960","            CELESTE",19600720,75,6.3,-12.7,153.615692007331,"Northwest"
"EP041960","              DIANA",19600817,75,13.7,-13,133.498207477641,"Northwest"
"EP051960","            ESTELLE",19600829,75,15.6,-30.6,152.987334652061,"Northwest"
"EP061960","           FERNANDA",19600903,75,6.8,-17.3,158.542017646625,"West"
"EP071960","           HYACINTH",19601021,75,5.1,-1.80000000000001,109.440034828176,"North"
"EP011961","                IVA",19610609,75,7.3,0.699999999999989,84.5226312711712,"North"
"EP021961","             JOANNE",19610710,45,-0.399999999999999,-4.5,185.079607860015,"West"
"EP031961","           KATHLEEN",19610714,45,-0.5,-3.39999999999998,188.365886124033,"West"
"EP041961","               LIZA",19610715,45,10,-22.7,156.225134683915,"Northwest"
"EP051961","              NAOMI",19610804,45,0.599999999999998,-4.09999999999999,171.674349669573,"West"
"EP061961","               ORLA",19610906,45,10,-3.59999999999999,109.798876354525,"North"
"EP071961","            PAULINE",19611003,45,2.1,-4.09999999999999,152.878696595841,"Northwest"
"EP081961","            REBECCA",19611003,45,2.3,-5.90000000000001,158.702645950966,"West"
"EP091961","             SIMONE",19611101,45,4.6,-2.60000000000002,119.475889003246,"Northwest"
"EP101961","               TARA",19611110,75,4.2,1.39999999999998,71.5650511770783,"North"
"EP011962","            VALERIE",19620624,75,8.4,-2.39999999999998,105.945395900923,"North"
"EP021962","              WILLA",19620708,45,1.3,-11.2,173.379223917685,"West"
"EP031962","                AVA",19620816,45,7.9,-6,127.216440473535,"Northwest"
"EP041962","            UNNAMED",19620820,45,0.900000000000002,-3.30000000000001,164.744881296942,"West"
"EP051962","            UNNAMED",19620829,45,-2.2,-15.3,188.182522997821,"West"
"EP061962","            BERNICE",19620902,45,7.6,-5.39999999999998,125.394795844987,"Northwest"
"EP071962","            CLAUDIA",19620920,45,13,-7.69999999999999,120.638585338187,"Northwest"
"EP081962","            UNNAMED",19620926,45,3.2,-9.09999999999999,160.625860231342,"West"
"EP091962","             DOREEN",19621001,75,14.1,-2,98.0732048758252,"North"
"EP011963","              EMILY",19630629,75,3,-2,123.69006752598,"Northwest"
